Sample Reads Reads_HQ SSU.rRNA.alignment.rate LSU.rRNA.alignment.rate Bacterial_Markers.alignment.rate total.enrichmnet.score
C01-01_R1 28846144 28841982 0.335108731431841 0.594161663369736 0.539685518145043 0.737832961565452
C01-02_R1 29251727 29245520 0.333042462572045 0.541016196668755 0.49678720022759 0.742410639920457
C01-03_R1 33938017 33936200 0.245722856418809 0.591091518791143 0.444964374325941 0.897098197222469
C01-04_R1 24018445 24017666 0.180854376107986 0.430279112050272 0.376535338612836 1.23237945103659
C01-05_R1 27966457 27961838 0.272782497345132 0.476685402440283 0.49821832169974 0.906415441478873
C01-06_R1 28749896 28749189 0.124626124236061 0.554871304369664 0.109557873093394 0.955657882693017
C01-07_R1 29144247 29142931 0.350273622100673 0.534043744604824 0.889907058421818 0.705888917001386
C01-08_R1 27633308 27632292 0.12425679346469 0.415075955335156 0.144291324078365 1.27751831703395
C01-09_R1 31175331 31170525 0.319112366570662 0.503902324391392 0.500482426908113 0.774818821394834
C01-14_R1 25299056 25293523 0.120592137362597 0.186174144266103 0.573091379955256 1.22300314629826
C01-16_R1 22689695 22688836 0.001718907043094 0.00098726968629 6.17043553931105E-05 100
C01-17_R1 27833637 27832358 0.001451547871007 0.000865898606219 0.000111381148518 100
C01-18_R1 23510287 23508820 0.001948204971581 0.002152383658559 0.000374327592793 100
C01-19_R1 26078438 26076641 0.002182029502956 0.001177298870664 0.000210916735787 100
C02-01_R1 33781903 33778931 0.351737004347473 0.643910252814099 0.669144917581909 0.702952105416068
C02-02_R1 26558407 26557577 0.177964277388709 0.540757163200543 0.207643189738281 0.980601223592803
C02-03_R1 32454911 32451536 0.295354278453877 0.574080684501344 0.508293351661382 0.837144696373203
C02-04_R1 25415537 25413929 0.213674162700305 0.671974018657249 0.370265455609009 0.789118509314714
C02-05_R1 28469890 28468551 0.283691994018241 0.515762112374458 0.628433811049955 0.871558848935647
C02-06_R1 31412783 31411825 0.148440913573153 0.74000475935416 0.126188147298032 0.71657260199761
C02-07_R1 31364857 31363473 0.15656748217903 0.517171679297124 0.173666991535025 1.02532129489708
C02-08_R1 23626211 23625728 1.12833348458088 2.12076427867112 0.865319367089979 0.219132261106866
C02-09_R1 25102565 25098971 0.354452778163694 0.612957399727662 0.570075163639179 0.697566172396057
C02-10_R1 25397003 25395722 0.268513728414573 0.785029856603407 0.389069466109292 0.67547384528193
C02-14_R1 31511486 31508889 0.372428237631609 0.715014102845708 0.510367090378845 0.663897746667026
C02-15_R1 27956053 27953925 0.340470971428878 0.620556862766141 0.525289382439139 0.72621247773673
C02-16_R1 27543452 27540350 0.198004019556759 0.332435862289332 0.279448155161427 1.24873357779446
C02-17_R1 27399005 27397054 0.153651556842571 0.271437943656278 0.2281376676485 1.60918817120824
C02-18_R1 26959493 26958951 0.06966146420163 0.487834263284206 0.041121778069184 1.08698214908308
C02-19_R1 30690971 30689924 0.127563039908473 0.817398570292973 0.112708001492607 0.648725303875889
C03-01_R1 31544044 31539702 0.151821345680438 0.283353977155523 0.581663707539152 1.2049790140199
C03-02_R1 33318912 33315571 0.408151491685374 0.7534074682376 0.559408091789872 0.60579043025866
C03-03_R1 24726430 24722480 0.186033116418741 0.363005653154538 0.593783471561106 1.18038408674291
C03-04_R1 26644453 26641163 0.309374632030891 0.596272767821735 0.492790048242263 0.799206664540318
C03-10_R1 32936189 32931697 0.14458410691681 0.269311964093439 0.601204972826028 1.1658129797348
C03-16_R1 25206206 25204723 0.005364074026919 0.007581912326511 0.010704342991589 46.0944920815703
C03-17_R1 24078926 24077565 0.003451345682173 0.004485503413655 0.004701472096535 71.6399603308043
C03-18_R1 32401391 32396930 0.36150956278882 0.569584834118541 0.49586488596296 0.683949453097133
C03-19_R1 34363162 34358950 0.35981600136209 0.662002185747818 0.495149007754894 0.687168627361794
