Antibiotic_family	Genefam	Gene	Hit
Aminoglycoside	aac(2')-Ia	aac(2')-Ia	aac(2')-Ia_1_L06156
Aminoglycoside	aac(2')-Ib	aac(2')-Ib	aac(2')-Ib_1_U41471
Aminoglycoside	aac(2')-Ic	aac(2')-Ic	aac(2')-Ic_1_U72714
Aminoglycoside	aac(2')-Id	aac(2')-Id	aac(2')-Id_1_U72743
Aminoglycoside	aac(2')-Ie	aac(2')-Ie	aac(2')-Ie_1_NC011896
Aminoglycoside	aac(2')-IIa	aac(2')-IIa	aac(2')-IIa_1_AB669090
Aminoglycoside	aac(3)-I	aac(3)-I	aac(3)-I_1_AJ877225
Aminoglycoside	aac(3)-Ia	aac(3)-Ia	aac(3)-Ia_1_X15852
Aminoglycoside	aac(3)-Ib	aac(3)-Ib	aac(3)-Ib_1_L06157
Aminoglycoside	aac(3)-Ib-aac(6')-Ib	aac(3)-Ib-aac(6')-Ib	aac(3)-Ib-aac(6')-Ib_1_AF355189
Aminoglycoside	aac(3)-Ic	aac(3)-Ic	aac(3)-Ic_1_AJ511268
Aminoglycoside	aac(3)-Id	aac(3)-Id	aac(3)-Id_1_AB114632
Aminoglycoside	aac(3)-If	aac(3)-If	aac(3)-If_1_AY884051
Aminoglycoside	aac(3)-Ig	aac(3)-Ig	aac(3)-Ig_1_CP000282
Aminoglycoside	aac(3)-Ih	aac(3)-Ih	aac(3)-Ih_1_CP000490
Aminoglycoside	aac(3)-Ii	aac(3)-Ii	aac(3)-Ii_1_CP000356
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_1_X51534
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_2_AY138987
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_3_X13543
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_4_L22613
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_5_FJ012882
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_6_CP023555
Aminoglycoside	aac(3)-IIb	aac(3)-IIb	aac(3)-IIb_1_M97172
Aminoglycoside	aac(3)-II 	aac(3)-IIc	aac(3)-IIc_1_X54723
Aminoglycoside	aac(3)-II 	aac(3)-IId	aac(3)-IId_1_EU022314
Aminoglycoside	aac(3)-II 	aac(3)-IIe	aac(3)-IIe_1_EU022315
Aminoglycoside	aac(3)-IIIa	aac(3)-IIIa	aac(3)-IIIa_1_X55652
Aminoglycoside	aac(3)-IIIb	aac(3)-IIIb	aac(3)-IIIb_1_L06160
Aminoglycoside	aac(3)-IIIb	aac(3)-IIIb	aac(3)-IIIb_2_LLLC01000048
Aminoglycoside	aac(3)-IIIc	aac(3)-IIIc	aac(3)-IIIc_1_L06161
Aminoglycoside	aac(3)-IV	aac(3)-IV	aac(3)-IV_1_DQ241380
Aminoglycoside	aac(3)-IV	aac(3)-IVa	aac(3)-IVa_1_X01385
Aminoglycoside	aac(3)-IXa	aac(3)-IXa	aac(3)-IXa_1_M55427
Aminoglycoside	aac(3)-VIa	aac(3)-VIa	aac(3)-VIa_1_M88012
Aminoglycoside	aac(3)-VIa	aac(3)-VIa	aac(3)-VIa_2_NC_009838
Aminoglycoside	aac(3)-VIIa	aac(3)-VIIa	aac(3)-VIIa_1_M22999
Aminoglycoside	aac(3)-VIII	aac(3)-VIII	aac(3)-VIII_1_AB211959
Aminoglycoside	aac(3)-VIII	aac(3)-VIII	aac(3)-VIII_2_AJ843080
Aminoglycoside	aac(3)-VIII	aac(3)-VIII	aac(3)-VIII_3_AJ748131
Aminoglycoside	aac(3)-VIII	aac(3)-VIIIa	aac(3)-VIIIa_1_M55426
Aminoglycoside	aac(3)-Xa	aac(3)-Xa	aac(3)-Xa_1_AB028210
Aminoglycoside	aac(3)-XI	aac(3)-XI	aac(3)-XI_1_CTEG01000046
Aminoglycoside	aac(6')-29	aac(6')-29a	aac(6')-29a_1_AF263519
Aminoglycoside	aac(6')-29	aac(6')-29b	aac(6')-29b_1_AF263519
Aminoglycoside	aac(6')-30-aac(6')-Ib'	aac(6')-30-aac(6')-Ib'	aac(6')-30-aac(6')-Ib'_1_AJ584652
