Sample	BioProject	BioSample	Accesion number	Partner	Industry_code	Industry_type	Surface	Room	Total_reads	Contigs	MAGs
AlvarezOrdonezA_xxxx__C01-01	PRJNA997800	SAMN36689709	SRR25394057	ULE	C01	Meat	Non_food_contact	Processing	57881223	95565	4
AlvarezOrdonezA_xxxx__C01-02	PRJNA997800	SAMN36689642	SRR25394101	ULE	C01	Meat	Food_contact	Processing	58812779	59676	2
AlvarezOrdonezA_xxxx__C01-03	PRJNA997800	SAMN36689710	SRR25394056	ULE	C01	Meat	Non_food_contact	Cold	68463199	75357	5
AlvarezOrdonezA_xxxx__C01-04	PRJNA997800	SAMN36689643	SRR25394100	ULE	C01	Meat	Food_contact	Cold	48857318	36970	2
AlvarezOrdonezA_xxxx__C01-05	PRJNA997800	SAMN36689711	SRR25394055	ULE	C01	Meat	Non_food_contact	Ripening	56127009	80221	8
AlvarezOrdonezA_xxxx__C01-06	PRJNA997800	SAMN36689644	SRR25394017	ULE	C01	Meat	Food_contact	Ripening	58003341	38531	5
AlvarezOrdonezA_xxxx__C01-07	PRJNA997800	SAMN36689712	SRR25394053	ULE	C01	Meat	Non_food_contact	Smoking	58374202	46251	13
AlvarezOrdonezA_xxxx__C01-08	PRJNA997800	SAMN36689645	SRR25393958	ULE	C01	Meat	Food_contact	Smoking	55785732	57295	3
AlvarezOrdonezA_xxxx__C01-09	PRJNA997800	SAMN36689713	SRR25394052	ULE	C01	Meat	Non_food_contact	Packing	62454766	47749	2
AlvarezOrdonezA_xxxx__C01-16	PRJNA997800	SAMN36689796	SRR25393983	ULE	C01	Meat	Before_ripening	Raw_material	47541499	62700	0
AlvarezOrdonezA_xxxx__C01-17	PRJNA997800	SAMN36689797	SRR25393982	ULE	C01	Meat	Before_ripening	Raw_material	57869049	98756	0
AlvarezOrdonezA_xxxx__C01-18	PRJNA997800	SAMN36689824	SRR25393924	ULE	C01	Meat	Final_product	Final_product	49365164	103911	0
AlvarezOrdonezA_xxxx__C01-19	PRJNA997800	SAMN36689825	SRR25393923	ULE	C01	Meat	Final_product	Final_product	55296312	134121	0
AlvarezOrdonezA_xxxx__C02-01	PRJNA997800	SAMN36689714	SRR25394051	ULE	C02	Meat	Non_food_contact	Processing	67842442	107608	11
AlvarezOrdonezA_xxxx__C02-02	PRJNA997800	SAMN36689646	SRR25393947	ULE	C02	Meat	Food_contact	Processing	53537414	73578	6
AlvarezOrdonezA_xxxx__C02-03	PRJNA997800	SAMN36689715	SRR25394050	ULE	C02	Meat	Non_food_contact	Cold	65176526	93168	14
AlvarezOrdonezA_xxxx__C02-04	PRJNA997800	SAMN36689647	SRR25393936	ULE	C02	Meat	Food_contact	Cold	51128608	38636	8
AlvarezOrdonezA_xxxx__C02-05	PRJNA997800	SAMN36689716	SRR25394049	ULE	C02	Meat	Non_food_contact	Ripening	57189707	72440	17
AlvarezOrdonezA_xxxx__C02-06	PRJNA997800	SAMN36689648	SRR25394065	ULE	C02	Meat	Food_contact	Ripening	63601258	45935	7
AlvarezOrdonezA_xxxx__C02-07	PRJNA997800	SAMN36689717	SRR25394048	ULE	C02	Meat	Non_food_contact	Smoking	63117302	89819	4
AlvarezOrdonezA_xxxx__C02-08	PRJNA997800	SAMN36689649	SRR25394054	ULE	C02	Meat	Food_contact	Smoking	47389055	52170	5
AlvarezOrdonezA_xxxx__C02-09	PRJNA997800	SAMN36689718	SRR25394047	ULE	C02	Meat	Non_food_contact	Packing	50363922	111153	7
AlvarezOrdonezA_xxxx__C02-10	PRJNA997800	SAMN36689650	SRR25393903	ULE	C02	Meat	Food_contact	Packing	51173882	57058	7
AlvarezOrdonezA_xxxx__C02-16	PRJNA997800	SAMN36689798	SRR25393981	ULE	C02	Meat	Before_ripening	Raw_material	56902394	37597	2
AlvarezOrdonezA_xxxx__C02-17	PRJNA997800	SAMN36689799	SRR25393980	ULE	C02	Meat	Before_ripening	Raw_material	56516274	55141	2
AlvarezOrdonezA_xxxx__C02-18	PRJNA997800	SAMN36689826	SRR25393922	ULE	C02	Meat	Final_product	Final_product	54432021	19572	0
AlvarezOrdonezA_xxxx__C02-19	PRJNA997800	SAMN36689827	SRR25393921	ULE	C02	Meat	Final_product	Final_product	62099195	38179	3
AlvarezOrdonezA_xxxx__C03-01	PRJNA997800	SAMN36689719	SRR25394046	ULE	C03	Meat	Non_food_contact	Processing	63260757	118418	11
AlvarezOrdonezA_xxxx__C03-02	PRJNA997800	SAMN36689651	SRR25393892	ULE	C03	Meat	Food_contact	Processing	66816994	139283	12
AlvarezOrdonezA_xxxx__C03-03	PRJNA997800	SAMN36689720	SRR25393905	ULE	C03	Meat	Non_food_contact	Cold	49652555	82923	18
AlvarezOrdonezA_xxxx__C03-04	PRJNA997800	SAMN36689652	SRR25394099	ULE	C03	Meat	Food_contact	Cold	53519656	55847	12
AlvarezOrdonezA_xxxx__C03-10	PRJNA997800	SAMN36689653	SRR25394088	ULE	C03	Meat	Food_contact	Packing	66105477	108699	16
AlvarezOrdonezA_xxxx__C03-16	PRJNA997800	SAMN36689800	SRR25393979	ULE	C03	Meat	Before_ripening	Raw_material	52335464	72746	0
AlvarezOrdonezA_xxxx__C03-17	PRJNA997800	SAMN36689801	SRR25393978	ULE	C03	Meat	Before_ripening	Raw_material	49934347	61787	0
AlvarezOrdonezA_xxxx__C03-18	PRJNA997800	SAMN36689828	SRR25393920	ULE	C03	Meat	Final_product	Final_product	65059365	34922	2
AlvarezOrdonezA_xxxx__C03-19	PRJNA997800	SAMN36689829	SRR25393919	ULE	C03	Meat	Final_product	Final_product	69091136	56026	3
AlvarezOrdonezA_xxxx__C04-01	PRJNA997800	SAMN36689721	SRR25393904	ULE	C04	Meat	Non_food_contact	Processing	68112108	124313	8
AlvarezOrdonezA_xxxx__C04-02	PRJNA997800	SAMN36689654	SRR25394077	ULE	C04	Meat	Food_contact	Processing	64657708	85588	5
AlvarezOrdonezA_xxxx__C04-05	PRJNA997800	SAMN36689722	SRR25393902	ULE	C04	Meat	Non_food_contact	Ripening	60522509	121052	18
AlvarezOrdonezA_xxxx__C04-06	PRJNA997800	SAMN36689655	SRR25394038	ULE	C04	Meat	Food_contact	Ripening	52536396	32530	0
AlvarezOrdonezA_xxxx__C04-07	PRJNA997800	SAMN36689723	SRR25393901	ULE	C04	Meat	Non_food_contact	Smoking	61567372	90017	16
AlvarezOrdonezA_xxxx__C04-09	PRJNA997800	SAMN36689724	SRR25393900	ULE	C04	Meat	Non_food_contact	Packing	63003728	43357	1
AlvarezOrdonezA_xxxx__C04-10	PRJNA997800	SAMN36689656	SRR25394027	ULE	C04	Meat	Food_contact	Packing	59114997	53199	5
AlvarezOrdonezA_xxxx__C04-16	PRJNA997800	SAMN36689802	SRR25393976	ULE	C04	Meat	Before_ripening	Raw_material	60967960	36129	1
AlvarezOrdonezA_xxxx__C04-17	PRJNA997800	SAMN36689803	SRR25393975	ULE	C04	Meat	Before_ripening	Raw_material	62221667	32526	2
AlvarezOrdonezA_xxxx__C04-18	PRJNA997800	SAMN36689830	SRR25393918	ULE	C04	Meat	Final_product	Final_product	60082456	25480	1
AlvarezOrdonezA_xxxx__C04-19	PRJNA997800	SAMN36689831	SRR25393917	ULE	C04	Meat	Final_product	Final_product	61913747	15166	0
AlvarezOrdonezA_xxxx__C05-01	PRJNA997800	SAMN36689725	SRR25393899	ULE	C05	Meat	Non_food_contact	Processing	59191801	93290	16
AlvarezOrdonezA_xxxx__C05-02	PRJNA997800	SAMN36689657	SRR25393988	ULE	C05	Meat	Food_contact	Processing	65255106	36352	5
AlvarezOrdonezA_xxxx__C05-03	PRJNA997800	SAMN36689726	SRR25393898	ULE	C05	Meat	Non_food_contact	Cold	57786764	60388	4
