resfinder_code	Sample_ule	Reads_code	Partner	Partner_code	Industry_code	Dataset_ID	UNITN_seq_ID	Industry_type	Industry_type2	Surface	Surface2	rindcore	Room	Ripening.time	Host	Product_type	Total_reads	Contigs	MAGs
C01.01	WP4-ULEE-C01-01	C01-01_R1	ULE	C01 A1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-01	Meat	Cured_meats	Non_food_contact	-	-	Processing	-	Cow	-	188935	95565	4
C01.02	WP4-ULEE-C01-02	C01-02_R1	ULE	C01 A2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-02	Meat	Cured_meats	Food_contact	-	-	Processing	-	Cow	-	309325	59676	2
C01.03	WP4-ULEE-C01-03	C01-03_R1	ULE	C01 B1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-03	Meat	Cured_meats	Non_food_contact	-	-	Cold	-	Cow	-	587165	75357	5
C01.04	WP4-ULEE-C01-04	C01-04_R1	ULE	C01 B2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-04	Meat	Cured_meats	Food_contact	-	-	Cold	-	Cow	-	820428	36970	2
C01.05	WP4-ULEE-C01-05	C01-05_R1	ULE	C01 C1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-05	Meat	Cured_meats	Non_food_contact	-	-	Ripening	-	Cow	-	194095	80221	8
C01.06	WP4-ULEE-C01-06	C01-06_R1	ULE	C01 C2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-06	Meat	Cured_meats	Food_contact	-	-	Ripening	-	Cow	-	503549	38531	5
C01.07	WP4-ULEE-C01-07	C01-07_R1	ULE	C01 D1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-07	Meat	Cured_meats	Non_food_contact	-	-	Smoking	-	Cow	-	85708	46251	13
C01.08	WP4-ULEE-C01-08	C01-08_R1	ULE	C01 D2	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-08	Meat	Cured_meats	Food_contact	-	-	Smoking	-	Cow	-	519116	57295	3
C01.09	WP4-ULEE-C01-09	C01-09_R1	ULE	C01 E1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-09	Meat	Cured_meats	Non_food_contact	-	-	Packing	-	Cow	-	104104	47749	2
C01.14	WP4-ULEE-C01-14	C01-14_R1	ULE	C01 CN1	C01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__C01-14	Meat	Cured_meats	Negative_control_industry	-	-	-	-	Cow	-	199380	56031	8
