gene	Family
blaACC-1	Beta-lactam
blaACC-1	Beta-lactam
blaACC-1a	Beta-lactam
blaACC-1b	Beta-lactam
blaACC-1c	Beta-lactam
blaACC-1d	Beta-lactam
blaACC-2	Beta-lactam
blaACC-3	Beta-lactam
blaACC-4	Beta-lactam
blaACC-4	Beta-lactam
blaACC-5	Beta-lactam
blaACC-7	Beta-lactam
blaCMY-1	Beta-lactam
blaCMY-10	Beta-lactam
blaCMY-100	Beta-lactam
blaCMY-101	Beta-lactam
blaCMY-102	Beta-lactam
blaCMY-103	Beta-lactam
blaCMY-104	Beta-lactam
blaCMY-105	Beta-lactam
blaCMY-106	Beta-lactam
blaCMY-107	Beta-lactam
blaCMY-108	Beta-lactam
blaCMY-109	Beta-lactam
blaCMY-11	Beta-lactam
blaCMY-110	Beta-lactam
blaCMY-111	Beta-lactam
blaCMY-112	Beta-lactam
blaCMY-113	Beta-lactam
blaCMY-114	Beta-lactam
blaCMY-115	Beta-lactam
blaCMY-116	Beta-lactam
blaCMY-117	Beta-lactam
blaCMY-118	Beta-lactam
blaCMY-119	Beta-lactam
blaCMY-12	Beta-lactam
blaCMY-121	Beta-lactam
blaCMY-122	Beta-lactam
blaCMY-124	Beta-lactam
blaCMY-125	Beta-lactam
blaCMY-127	Beta-lactam
blaCMY-128	Beta-lactam
blaCMY-129	Beta-lactam
blaCMY-13	Beta-lactam
blaCMY-130	Beta-lactam
blaCMY-131	Beta-lactam
blaCMY-132	Beta-lactam
blaCMY-133	Beta-lactam
blaCMY-134	Beta-lactam
blaCMY-135	Beta-lactam
blaCMY-138	Beta-lactam
blaCMY-139	Beta-lactam
blaCMY-14	Beta-lactam
blaCMY-140	Beta-lactam
blaCMY-141	Beta-lactam
blaCMY-142	Beta-lactam
blaCMY-143	Beta-lactam
blaCMY-144	Beta-lactam
blaCMY-145	Beta-lactam
blaCMY-146	Beta-lactam
blaCMY-147	Beta-lactam
blaCMY-148	Beta-lactam
blaCMY-149	Beta-lactam
blaCMY-15	Beta-lactam
blaCMY-150	Beta-lactam
blaCMY-151	Beta-lactam
blaCMY-152	Beta-lactam
blaCMY-153	Beta-lactam
blaCMY-154	Beta-lactam
blaCMY-155	Beta-lactam
blaCMY-156	Beta-lactam
blaCMY-16	Beta-lactam
blaCMY-17	Beta-lactam
blaCMY-18	Beta-lactam
blaCMY-19	Beta-lactam
blaCMY-2	Beta-lactam
blaCMY-20	Beta-lactam
blaCMY-21	Beta-lactam
blaCMY-22	Beta-lactam
blaCMY-23	Beta-lactam
blaCMY-24	Beta-lactam
blaCMY-25	Beta-lactam
blaCMY-26	Beta-lactam
blaCMY-27	Beta-lactam
blaCMY-28	Beta-lactam
blaCMY-29	Beta-lactam
blaCMY-2b	Beta-lactam
blaCMY-30	Beta-lactam
blaCMY-31	Beta-lactam
blaCMY-32	Beta-lactam
blaCMY-33	Beta-lactam
blaCMY-34	Beta-lactam
blaCMY-35	Beta-lactam
blaCMY-36	Beta-lactam
blaCMY-37	Beta-lactam
blaCMY-38	Beta-lactam
blaCMY-39	Beta-lactam
blaCMY-4	Beta-lactam
blaCMY-40	Beta-lactam
blaCMY-41	Beta-lactam
blaCMY-42	Beta-lactam
blaCMY-43	Beta-lactam
blaCMY-44	Beta-lactam
blaCMY-45	Beta-lactam
blaCMY-46	Beta-lactam
blaCMY-47	Beta-lactam
blaCMY-48	Beta-lactam
