Family	Genefam	Gene	Hit
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_1_X04555
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_10_HM367617
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_11_HM367620
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_12_HQ880250
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_13_DQ176450
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_14_DQ266447
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_15_EF205594
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_16_HQ386848
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_17_JTTZ01000034
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_19_GQ466184
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_2_JF826500
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_20_AY139599
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_3_X74412
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_4_AF458082
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_5_AY139594
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_6_AJ871915
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_7_DQ018384
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_8_AY920928
Aminoglycoside	ant(2'')-Ia	ant(2'')-Ia	ant(2'')-Ia_9_HM367610
Aminoglycoside	aadA1 like	ant(3'')-Ia	ant(3'')-Ia_1_X02340
Aminoglycoside	aac(6') like	ant(3'')-Ii-aac(6')-IId	ant(3'')-Ii-aac(6')-IId_1_AF453998
Aminoglycoside	ant(4')-Ib	ant(4')-Ib	ant(4')-Ib_1_AJ506108
Aminoglycoside	ant(4')-IIa	ant(4')-IIa	ant(4')-IIa_1_M98270
Aminoglycoside	ant(4')-IIb	ant(4')-IIb	ant(4')-IIb_1_AY114142
Aminoglycoside	ant(6)-Ia	ant(6)-Ia	ant(6)-Ia_1_AF330699
Aminoglycoside	ant(6)-Ia	ant(6)-Ia	ant(6)-Ia_2_KF421157
Aminoglycoside	ant(6)-Ia	ant(6)-Ia	ant(6)-Ia_3_KF864551
Aminoglycoside	ant(6)-Ia	ant(6)-Ia	ant(6)-Ia_5_AB247327
Aminoglycoside	ant(6)-Ib	ant(6)-Ib	ant(6)-Ib_1_FN594949
Aminoglycoside	ant(9)-Ia	ant(9)-Ia	ant(9)-Ia_1_X02588
Aminoglycoside	ant(9)-Ia	ant(9)-Ia	ant(9)-Ia_2_M69221
Aminoglycoside	aph(2'')	aph(2'')-Ia	aph(2'')-Ia_2_AP009486
Aminoglycoside	aph(2'')	aph(2'')-Ia	aph(2'')-Ia_3_AJ536195
Aminoglycoside	aph(2'')-Ib	aph(2'')-Ib	aph(2'')-Ib_1_AF337947
Aminoglycoside	aph(2'')-Ib	aph(2'')-Ib	aph(2'')-Ib_2_AF207840
Aminoglycoside	aph(2'')-Ib	aph(2'')-Ib	aph(2'')-Ib_3_KF652098
Aminoglycoside	aph(2'')-Ic	aph(2'')-Ic	aph(2'')-Ic_1_U51479
Aminoglycoside	aph(2'')-Id/Ie	aph(2'')-Id	aph(2'')-Id_1_AF016483
Aminoglycoside	aph(2'')-Id/Ie	aph(2'')-Ie	aph(2'')-Ie_1_AY743255
Aminoglycoside	aph(2'')-If	aph(2'')-If	aph(2'')-If_1_KF652097
Aminoglycoside	aph(2'')-Ig	aph(2'')-Ig	aph(2'')-Ig_1_CP004067
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_1_V00359
Aminoglycoside	aph(3'')-Ia	aph(3'')-Ia	aph(3'')-Ia_1_X53527
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_10_EU855787
Aminoglycoside	aph(3'')-Ia	aph(3'')-Ia	aph(3'')-Ia_2_AP009493
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_2_EU287476
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_3_EF015636
Aminoglycoside	aph(3'')-Ia	aph(3'')-Ia	aph(3'')-Ia_3_M37378
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_4_AF498082
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_5_AP004237
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_6_L05392
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_7_X62115
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_8_Y00452
Aminoglycoside	aph(3')-Ia	aph(3')-Ia	aph(3')-Ia_9_EU722351
Aminoglycoside	aph(3')-Ib	aph(3')-Ib	aph(3')-Ib_1_M20305
Aminoglycoside	aph(3'')-Ib	aph(3'')-Ib	aph(3'')-Ib_1_M28829
Aminoglycoside	aph(3'')-Ib	aph(3'')-Ib	aph(3'')-Ib_2_AF024602
Aminoglycoside	aph(3')-Ib	aph(3')-Ib	aph(3')-Ib_2_AJ744860
Aminoglycoside	aph(3'')-Ib	aph(3'')-Ib	aph(3'')-Ib_3_AF321550
Aminoglycoside	aph(3'')-Ib	aph(3'')-Ib	aph(3'')-Ib_4_AF313472
Aminoglycoside	aph(3'')-Ib	aph(3'')-Ib	aph(3'')-Ib_5_AF321551
Aminoglycoside	aph(3'')-Ic	aph(3'')-Ic	aph(3'')-Ic_1_DQ336355
Aminoglycoside	aph(3')-Id	aph(3')-Id	aph(3')-Id_1_Z48231
Aminoglycoside	aph(3')-IIa	aph(3')-IIa	aph(3')-IIa_1_X57709
Aminoglycoside	aph(3')-IIa	aph(3')-IIa	aph(3')-IIa_2_V00618
Aminoglycoside	aph(3')-IIb	aph(3')-IIb	aph(3')-IIb_1_X90856
Aminoglycoside	aph(3')-IIb	aph(3')-IIb	aph(3')-IIb_2_CP006832
Aminoglycoside	aph(3')-IIc	aph(3')-IIc	aph(3')-IIc_1_AM743169
Aminoglycoside	aph(3')-III	aph(3')-III	aph(3')-III_1_M26832
Aminoglycoside	aph(3')-III	aph(3')-IIIa	aph(3')-IIIa_1_AF330699
Aminoglycoside	aph(3')-III	aph(3')-IIIa	aph(3')-IIIa_2_AJ490186
Aminoglycoside	aph(3')-III	aph(3')-IIIa	aph(3')-IIIa_3_AB247327
Aminoglycoside	aph(3')-IX	aph(3')-IX	aph(3')-IX_1_APPN01000061
Aminoglycoside	aph(3')-VI	aph(3')-VI	aph(3')-VI_1_KC170992
Aminoglycoside	aph(3')-VI	aph(3')-VI	aph(3')-VI_2_APPJ01000012
Aminoglycoside	aph(3')-VI	aph(3')-VIa	aph(3')-VIa_1_X07753
Aminoglycoside	aph(3')-VI	aph(3')-VIb	aph(3')-VIb_1_AJ627643
Aminoglycoside	aph(3')-VIII	aph(3')-VIII	aph(3')-VIII_1_ATGI01000028
Aminoglycoside	aph(3')-XV	aph(3')-XV	aph(3')-XV_1_Y18050
Aminoglycoside	aph(3')-XV	aph(3')-XV	aph(3')-XV_2_GQ626879
Aminoglycoside	aph(3')-XV	aph(3')-XV	aph(3')-XV_3_EU165039
Aminoglycoside	aph(4)-Ia	aph(4)-Ia	aph(4)-Ia_1_V01499
Aminoglycoside	aph(6)-Ia	aph(6)-Ia	aph(6)-Ia_2_Y00459
Aminoglycoside	aph(6)-Ib	aph(6)-Ib	aph(6)-Ib_1_X05648
Aminoglycoside	aph(6)-Ic	aph(6)-Ic	aph(6)-Ic_1_X01702
Aminoglycoside	aph(6)-Id	aph(6)-Id	aph(6)-Id_1_M28829
Aminoglycoside	aph(6)-Id	aph(6)-Id	aph(6)-Id_2_AF024602
Aminoglycoside	aph(6)-Id	aph(6)-Id	aph(6)-Id_3_AB109805
Aminoglycoside	aph(6)-Id	aph(6)-Id	aph(6)-Id_4_CP000971
Aminoglycoside	aph(6)-Id	aph(6)-Id	aph(6)-Id_5_18676889
Aminoglycoside	aph(7'')-Ia	aph(7'')-Ia	aph(7'')-Ia_1_X03615
Aminoglycoside	aph(9)-Ia	aph(9)-Ia	aph(9)-Ia_1_U94857
Aminoglycoside	aph(9)-Ia	aph(9)-Ia	aph(9)-Ia_2_CR628337
Aminoglycoside	grmA/B	grmA	grmA_1_M55520
Aminoglycoside	grmO	grmO	grmO_1_AY524043
Aminoglycoside	str	str	str_1_X92946
Aminoglycoside	str	str	str_2_FN435330
Aminoglycoside	str	str	str_3_AM932524
Aminoglycoside	aac(2')-Ia	aac(2')-Ia	aac(2')-Ia_1_L06156
Aminoglycoside	aac(2')-Ib	aac(2')-Ib	aac(2')-Ib_1_U41471
Aminoglycoside	aac(2')-IIa	aac(2')-IIa	aac(2')-IIa_1_AB669090
Aminoglycoside	aac(3)-I	aac(3)-I	aac(3)-I_1_AJ877225
Aminoglycoside	aac(3)-Ia	aac(3)-Ia	aac(3)-Ia_1_X15852
Aminoglycoside	aac(3)-Ib	aac(3)-Ib	aac(3)-Ib_1_L06157
Aminoglycoside	aac(3)-Ib-aac(6')-Ib	aac(3)-Ib-aac(6')-Ib	aac(3)-Ib-aac(6')-Ib_1_AF355189
Aminoglycoside	aac(3)-Ic	aac(3)-Ic	aac(3)-Ic_1_AJ511268
Aminoglycoside	aac(3)-If	aac(3)-If	aac(3)-If_1_AY884051
Aminoglycoside	aac(3)-Ih	aac(3)-Ih	aac(3)-Ih_1_CP000490
Aminoglycoside	aac(3)-Ii	aac(3)-Ii	aac(3)-Ii_1_CP000356
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_1_X51534
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_2_AY138987
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_3_X13543
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_4_L22613
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_5_FJ012882
Aminoglycoside	aac(3)-II 	aac(3)-IIa	aac(3)-IIa_6_CP023555
Aminoglycoside	aac(3)-IIb	aac(3)-IIb	aac(3)-IIb_1_M97172
Aminoglycoside	aac(3)-II 	aac(3)-IIc	aac(3)-IIc_1_X54723
Aminoglycoside	aac(3)-II 	aac(3)-IId	aac(3)-IId_1_EU022314
Aminoglycoside	aac(3)-II 	aac(3)-IIe	aac(3)-IIe_1_EU022315
Aminoglycoside	aac(3)-IIIb	aac(3)-IIIb	aac(3)-IIIb_1_L06160
Aminoglycoside	aac(3)-IIIb	aac(3)-IIIb	aac(3)-IIIb_2_LLLC01000048
Aminoglycoside	aac(3)-IIIc	aac(3)-IIIc	aac(3)-IIIc_1_L06161
Aminoglycoside	aac(3)-IV	aac(3)-IV	aac(3)-IV_1_DQ241380
Aminoglycoside	aac(3)-IV	aac(3)-IVa	aac(3)-IVa_1_X01385
Aminoglycoside	aac(3)-VIII	aac(3)-VIII	aac(3)-VIII_3_AJ748131
Aminoglycoside	aac(3)-Xa	aac(3)-Xa	aac(3)-Xa_1_AB028210
Aminoglycoside	aac(3)-XI	aac(3)-XI	aac(3)-XI_1_CTEG01000046
Aminoglycoside	aac(6')-29	aac(6')-29a	aac(6')-29a_1_AF263519
Aminoglycoside	aac(6')-29	aac(6')-29b	aac(6')-29b_1_AF263519
Aminoglycoside	aac(6')-30-aac(6')-Ib'	aac(6')-30-aac(6')-Ib'	aac(6')-30-aac(6')-Ib'_1_AJ584652
Aminoglycoside	aac(6')-31	aac(6')-31	aac(6')-31_1_AM283489
Aminoglycoside	aac(6')-32	aac(6')-32	aac(6')-32_1_EF614235
Aminoglycoside	aph(2'')	aac(6')-aph(2'')	aac(6')-aph(2'')_1_M13771
Aminoglycoside	aac(6')-Iad	aac(6')-Iad	aac(6')-Iad_1_AB119105
Aminoglycoside	aac(6')-Ian	aac(6')-Ian	aac(6')-Ian_1_AP014611
Aminoglycoside	aac(6') like	aac(6')-Ib	aac(6')-Ib_1_M21682
Aminoglycoside	aac(6') like	aac(6')-Ib	aac(6')-Ib_2_M23634
Aminoglycoside	aac(6') like	aac(6')-Ib11	aac(6')-Ib11_1_AY136758
Aminoglycoside	aac(6') like	aac(6')-Ib3	aac(6')-Ib3_1_X60321
Aminoglycoside	aac(6') like	aac(6')-Ib-Hangzhou	aac(6')-Ib-Hangzhou_1_FJ503047
